GEOID,NAME,VACCINATED,POP_A12p
37001,Alamance,88923,139834
37003,Alexander,14563,32505
37005,Alleghany,5881,9813
37007,Anson,9856,21809
37009,Ashe,13101,23886
37011,Avery,8634,15918
37013,Beaufort,23003,41201
37015,Bertie,9132,17167
37017,Bladen,14600,28972
37019,Brunswick,81997,118313
37021,Buncombe,152491,225592
37023,Burke,38389,79274
37025,Cabarrus,104363,173056
37027,Caldwell,35019,71314
37029,Camden,3846,9083
37031,Carteret,36104,61286
37033,Caswell,9807,20003
37035,Catawba,76458,135203
37037,Chatham,38765,62063
37039,Cherokee,11629,25075
37041,Chowan,6986,12516
37043,Clay,4654,9609
37045,Cleveland,42920,83471
37047,Columbus,22202,48477
37049,Craven,48250,87264
37051,Cumberland,114507,276094
37053,Currituck,10401,22503
37055,Dare,24852,31766
37057,Davidson,71055,141892
37059,Davie,21863,36586
37061,Duplin,22451,49500
37063,Durham,200752,265976
37065,Edgecombe,21744,45063
37067,Forsyth,208846,317809
37069,Franklin,33159,57100
37071,Gaston,98326,186740
37073,Gates,4155,10060
37075,Graham,3383,7420
37077,Granville,30775,51605
37079,Greene,9894,18235
37081,Guilford,292986,451194
37083,Halifax,23889,44161
37085,Harnett,48121,108659
37087,Haywood,31670,54048
37089,Henderson,60557,100372
37091,Hertford,10004,21257
37093,Hoke,15667,43635
37095,Hyde,3024,4541
37097,Iredell,84342,150184
37099,Jackson,19036,38246
37101,Johnston,97489,164574
37103,Jones,4304,8485
37105,Lee,30080,50898
37107,Lenoir,27049,48271
37109,Lincoln,38211,71584
37111,McDowell,21285,39047
37113,Macon,19140,30837
37115,Madison,11298,19020
37117,Martin,10555,19898
37119,Mecklenburg,618787,902291
37121,Mitchell,6461,13276
37123,Montgomery,10745,23420
37125,Moore,51909,83335
37127,Nash,48635,80583
37129,New Hanover,134223,200011
37131,Northampton,8375,17668
37133,Onslow,55406,160249
37135,Orange,102504,126734
37137,Pamlico,6633,11558
37139,Pasquotank,18072,33458
37141,Pender,28778,51746
37143,Perquimans,5569,11806
37145,Person,19761,33984
37147,Pitt,85492,152999
37149,Polk,8775,18494
37151,Randolph,56312,122381
37153,Richmond,18925,38396
37155,Robeson,47322,110429
37157,Rockingham,41363,78973
37159,Rowan,53759,120082
37161,Rutherford,24843,57753
37163,Sampson,29062,53285
37165,Scotland,15340,29572
37167,Stanly,24339,52847
37169,Stokes,19129,40332
37171,Surry,33511,62195
37173,Swain,4920,12024
37175,Transylvania,17243,30216
37177,Tyrrell,1787,3697
37179,Union,117334,192822
37181,Vance,22157,37792
37183,Wake,722246,900067
37185,Warren,9788,17578
37187,Washington,5179,10344
37189,Watauga,29347,50217
37191,Wayne,48415,104286
37193,Wilkes,29240,59495
37195,Wilson,37225,69307
37197,Yadkin,16836,32610
37199,Yancey,8183,15699
